name_en,name_he,name_ar,desc_en,desc_he,desc_ar,time,keywords_en,keywords_he,keywords_ar,links,longitude,latitude,elevation
"Saawa Enterance","כניסת סאווא","مدخل سوا","The northern entrance to Al-Naqea Valley from Saawa village.","הכניסה הצפונית לעמק אל-נקעה מכפר סאווא.","المدخل الشمالي لوادي النقع من قرية سوا.","2024-02-17T07:27:57Z","Entrance","כניסה","مدخل","pictures/first-trip/picture1.jpg",34.97182261606955,31.266276809163394,441.17102998588234
"Sawa's Landscape","נוף סאווא","منظر سوا","This point marks a site for catching a beautiful view on the agricultural identity of Saawa.","נקודה זו מסמנת אתר לתפיסת נוף יפה על הזהות החקלאית של סאווא.","تشير هذه النقطة إلى موقع للحصول على منظر جميل على الهوية الزراعية لسوا.","2024-02-17T07:29:08Z","Landscape view","נוף","منظر طبيعي","pictures/first-trip/picture1.jpg",34.971302076821615,31.260339411433634,438.884357589297
"Al-Atrash schools junction","צומת בתי הספר אל-אטרש","تقاطع مدارس الأطرش","The end of the road of the recognized Bedouin village Saawa and the beginning of the field of the unrecognized villages of Al-Naqea Valley. This is also where most of the schools on the northern side of Al-Naqea are concentrated.","סוף הדרך של הכפר הבדואי המוכר סאווא ותחילת השדה של הכפרים הלא מוכרים בעמק אל-נקעה. כאן גם מרוכזים רוב בתי הספר בצד הצפוני של אל-נקעה.","نهاية طريق القرية البدوية المعترف بها سوا وبداية حقل القرى غير المعترف بها في وادي النقع. هنا أيضًا تتركز معظم المدارس في الجانب الشمالي من النقع.","2024-02-17T07:31:05Z","School","בית ספר","مدرسة","pictures/first-trip/picture1.jpg",34.962812470463135,31.254624045745487,414.00443260744214
"Saawa Shop","חנות סאווא","متجر سوا","Small supermarket","סופרמרקט קטן","سوبرماركت صغير","2024-02-17T07:31:13Z","Shop","חנות","متجر","pictures/first-trip/picture1.jpg",34.96286734524373,31.254457462629986,413.92059361655265
"Al-Mithaq Mosque and Library","מסגד וספריית אל-מית'אק","مسجد ومكتبة الميثاق","On the Junction turning from the main road of Al-Naqea valley into the area if Al-Gharra village, there is a Mosque and a Library in its entrance.","בצומת הפונה מהכביש הראשי של עמק אל-נקעה לאזור כפר אל-גרה, יש מסגד וספרייה בכניסה.","عند التقاطع الذي يتحول من الطريق الرئيسي لوادي النقع إلى منطقة قرية الغرة، يوجد مسجد ومكتبة في مدخله.","2024-02-17T07:32:15Z","Mosque and Library","מסגד וספרייה","مسجد ومكتبة","pictures/first-trip/picture1.jpg",34.96159129397762,31.253056527801483,418.9678073376417
"Al-Amur family","משפחת אל-עמור","عائلة العمور","The Shiq of Al-Amur family in Bir-Almshash village northern Nevatim Military Base.","השיח' של משפחת אל-עמור בכפר ביר-אלמשש בצפון בסיס נבטים.","شيق عائلة العمور في قرية بير المشاش شمال قاعدة نيفاتيم العسكرية.","2024-02-17T07:49:02Z","Shiq","שייח","شيق","pictures/170224/DSC02586.JPG; pictures/170224/C0779.MP4",34.976400146182755,31.235350612146707,445.1249342318624
"BirAlhamamCemetry","בית הקברות ביר אלחמאם","مقبرة بير الحمام","Old cemetery of birAlhamam village. The cemetery is almost unseen, the graves are marked with little stones. The cemetery needs rehabilitation and a fence to show its borders. The cemetery marks the borders between Al-nAqea Area and Nevatim settlement.","בית הקברות הישן של כפר ביר אלחמאם. בית הקברות כמעט בלתי נראה, הקברים מסומנים באבנים קטנות. בית הקברות זקוק לשיקום ולגדר להראות את גבולותיו. בית הקברות מסמן את הגבולות בין אזור אל-נקעה להתנחלות נבטים.","مقبرة قديمة لقرية بير الحمام. المقبرة تكاد تكون غير مرئية، القبور محددة بأحجار صغيرة. تحتاج المقبرة إلى ترميم وسياج لإظهار حدودها. المقبرة تحدد الحدود بين منطقة النقع ومستوطنة نيفاتيم.","2024-03-09T07:34:55Z","Cemetery","בית קברות","مقبرة","pictures/090324/DSC03309.JPG",34.90730202760073,31.218498065165445,327.79458236694336
"BirAlhamam Village West side","הצד המערבי של כפר ביר אלחמאם","الجانب الغربي لقرية بير الحمام","Western side of BirAlhamam's Village","הצד המערבי של כפר ביר אלחמאם","الجانب الغربي لقرية بير الحمام","2024-03-09T07:34:55Z","Village","כפר","قرية","pictures/090324/DSC03304.JPG",34.90730202760073,31.218498065165445,327.79458236694336
"Wadi Ghwuiena","ואדי גוויינה","وادي غوينة","A stream that branches off from the Be'er Sheva stream, passes through the upper part of the village of Al-zarnuq, and continues northward through the villages of Bir al-Hamam, Al-ghara, Al-ruis, and Sawa","נחל שמתפצל מנחל באר שבע, עובר בחלק העליון של כפר אל-זרנוק, וממשיך צפונה דרך הכפרים ביר אל-חמאם, אל-גרה, אל-רויס וסאווא","جدول يتفرع من جدول بئر السبع، يمر عبر الجزء العلوي من قرية الزرنوق، ويستمر شمالًا عبر قرى بير الحمام، الغرة، الرويس، وسوا","2024-03-09T07:34:55Z","Stream","נחל","جدول","pictures/090324/DSC03304.JPG",34.95948,31.247841,116.82948160264641
"Bir Almshash shop","חנות ביר אלמשש","متجر بير المشاش","A special site of a shop and a power turbina","אתר מיוחד של חנות וטורבינת כוח","موقع خاص لمتجر وتوربين طاقة","2024-02-05T13:45:57Z","Shop","חנות","متجر","pictures/030224/Bir al mshash/photos/DSC02668.JPG; pictures/030224/Bir al mshash/photos/DSC02670.JPG",34.952141,31.192663,116.82948160264641
